key,en,source_sha256,it
36525930,Size,1af851907331c0ed99e7c63b4e55df808bc5fc4c990a1cf80ca8c0f76daf1f3b,Dimensione
36550519,Size,1af851907331c0ed99e7c63b4e55df808bc5fc4c990a1cf80ca8c0f76daf1f3b,Dimensione
37976086,Width,3019947b6daf18b0534a15d8c7ac30ab587e36cc93fb45a6e7b750348006d620,Larghezza
38715129,Width,3019947b6daf18b0534a15d8c7ac30ab587e36cc93fb45a6e7b750348006d620,Larghezza
55890675,Size,1af851907331c0ed99e7c63b4e55df808bc5fc4c990a1cf80ca8c0f76daf1f3b,Dimensione
73662830,"Morphi!
(Haha! You guessed wrong!)",15a1d705be6763b363045a04495045399d60419a7df7a86d961dfa7f33db32f3,"Morphi!
(Ahaha! Hai sbagliato!)"
88511355,"Morphi! Morphi! Morphi!
(Haha! Gotcha, didn’t I!)",a9c4cb61128c64c7874930c7a92273137ea7952ab61ef09527709f0a075e9535,"Morphi! Morphi! Morphi!
(Ahah! Ti ho beccato, eh!)"
89727699,"Morphi, Morphi!
(This is the perfect disguise! I’m a genius!)",42a1817c4fde8fc19f1a77bae63f2970ff258c5cc1f3d64ffe92df21c27ff1be,"Morphi, Morphi!
(È il travestimento perfetto! Sono un genio!)"
97145564,"Mofei! Mofei! Mo—fei!
(Fine, I'll adventure with you for now, but if you want me to fight for you, you'll have to wait until you're strong enough!)",2e83a1cb1c53b41ba730e9fe7e4d699f3c858387f95b4fc5e18fdce0c738f016,"Mofei! Mofei! Mo—fei!
(E va bene, per ora verrò in avventura con te, ma se vuoi che combatta per te dovrai aspettare di essere abbastanza forte!)"
108369089,"Mofei, Mofei!
(In a moment, I'll transform into five Chirpis. Find the #cd89c28different one#z and capture it with the #cd89c28Spirit Camera#z, and you win.)",200f8e1b96416f7b94e83344926ef8c652ed69ee467b412b7c5d258907649cb3,"Mofei, Mofei!
(Tra poco mi trasformerò in cinque Chirpis. Trova quello #cd89c28diverso#z e catturalo con la #cd89c28Fotocamera Spiritica#z, e hai vinto.)"
128641086,"Mofei! Mo... Mofei... Mofei?!
(...You actually saw through my perfect disguise?! Hehe, you're quite interesting.)",df57eb3a7b356710d60692055d7efcca20171359e4dcd4ff82ae218722f9077d,"Mofei! Mo... Mofei... Mofei?!
(...Sul serio hai smascherato il mio travestimento perfetto?! Ehehe, sei proprio interessante.)"
130203758,"Morphi? Morphi! Morphi!
(Got it now? Then—let the game begin!)",df6ac637283c1348eb8ec4f6d15e2722db5232bbc459ba8fa5e353d362bda7af,"Morphi? Morphi! Morphi!
(Ora hai capito? Allora che il gioco abbia inizio!)"
284023976,Progress the quest [Ancient Sacred Fragrance].,23b341e207b1d63f3e1bcd8d7ec27adc627703fc4fd55b92f3ea1d78bd7b1249,Progredisci la missione [Antica Fragranza Sacra].
284391080,"Legend has it that when Sherro grows old, it becomes a shooting star and returns to the stars. But why does the Omega Sherro who once commanded the stars refuse to leave? Where does the blade point—at an enemy, or at the starlight it has sworn to protect?",cc0b1c6e9e1f1a68f0153add9ebec9555f44d33cfb68b70ee04a0acf310f0d42,"Si narra che, quando Sherro invecchia, si trasformi in una stella cadente e faccia ritorno tra le stelle. Ma perché lo Sherro Omega che un tempo le comandava si rifiuta di andarsene? La sua lama punta verso un nemico o verso la luce stellare che ha giurato di proteggere?"
296237158,"Find Hummin, who loves setting up puzzles",a1da0a974dd08f6dd88835590cd4b5293974af38c0ba835992ca81a435266ea7,Trova l'Hummin che adora creare indovinelli
303909612,Clue: The Aging Sherro,03d90f68897ae5ffad3013f459d51ff13d85fc1e93e5bdd34a475ffd2832d954,Indizio: L'Anziano Sherro
371414779,Clue: The Aging Sherro,03d90f68897ae5ffad3013f459d51ff13d85fc1e93e5bdd34a475ffd2832d954,Indizio: L'Anziano Sherro
373120322,Clue: The Aging Sherro,03d90f68897ae5ffad3013f459d51ff13d85fc1e93e5bdd34a475ffd2832d954,Indizio: L'Anziano Sherro
379215567,"Find the Hummin that ""Loves to Eat""",afd595d5373f9a042b75d3865523df5dc1f6801583b6b67c6bb589526e516357,"Trova l'Hummin ""Ghiotto"""
401318456,"Above Echoback Landing, the fading starlight figure still stands with sword in hand.",36c337634e197a52f549e5836358b793bd50793bf545d91fc2aef9a71d0e5114,"Sopra Echoback Landing, la figura dal bagliore stellare sempre più fioco è ancora in piedi, con la spada in pugno."
403569746,Clue: The Aging Sherro,03d90f68897ae5ffad3013f459d51ff13d85fc1e93e5bdd34a475ffd2832d954,Indizio: L'Anziano Sherro
407405386,"Legend has it that when Sherro grows old, it becomes a shooting star and returns to the stars. But why does the Omega Sherro who once commanded the stars refuse to leave? Where does the blade point—at an enemy, or at the starlight it has sworn to protect?",cc0b1c6e9e1f1a68f0153add9ebec9555f44d33cfb68b70ee04a0acf310f0d42,"Si narra che, quando Sherro invecchia, si trasformi in una stella cadente e faccia ritorno tra le stelle. Ma perché lo Sherro Omega che un tempo le comandava si rifiuta di andarsene? La sua lama punta verso un nemico o verso la luce stellare che ha giurato di proteggere?"
423832102,"Legend has it that when Sherro grows old, it becomes a shooting star and returns to the stars. But why does the Omega Sherro who once commanded the stars refuse to leave? Where does the blade point—at an enemy, or at the starlight it has sworn to protect?",cc0b1c6e9e1f1a68f0153add9ebec9555f44d33cfb68b70ee04a0acf310f0d42,"Si narra che, quando Sherro invecchia, si trasformi in una stella cadente e faccia ritorno tra le stelle. Ma perché lo Sherro Omega che un tempo le comandava si rifiuta di andarsene? La sua lama punta verso un nemico o verso la luce stellare che ha giurato di proteggere?"
423911689,Keep collecting Lumin Amber and head to the Branch.,a7671997759e40fde6b0d0e5e2108c7cf6af84cd0b1d11b9a51a7901abd180b7,Continua a raccogliere Ambra Lumin e raggiungi il Ramo.
425542625,Defeat the aging Omega Sherro.,52e14b4abfc72b80d431360508d2df5b704b344d2906f3ff7e1fc24d68f8fff1,"Sconfiggi Sherro Omega, ormai avanti con gli anni."
435902869,"Above Echoback Landing, the fading starlight figure still stands with sword in hand.",36c337634e197a52f549e5836358b793bd50793bf545d91fc2aef9a71d0e5114,"Sopra Echoback Landing, la figura dal bagliore stellare sempre più fioco è ancora in piedi, con la spada in pugno."
436783105,"Above Echoback Landing, the fading starlight figure still stands with sword in hand.",36c337634e197a52f549e5836358b793bd50793bf545d91fc2aef9a71d0e5114,"Sopra Echoback Landing, la figura dal bagliore stellare sempre più fioco è ancora in piedi, con la spada in pugno."
456195718,Defeat the aging Omega Sherro.,52e14b4abfc72b80d431360508d2df5b704b344d2906f3ff7e1fc24d68f8fff1,"Sconfiggi Sherro Omega, ormai avanti con gli anni."
